iter	Logloss
0	0.67758722
1	0.6638437408
2	0.6517840228
3	0.6407195029
4	0.6309958275
5	0.6223405764
6	0.6143063795
7	0.6076475186
8	0.6016589515
9	0.5962193298
10	0.5914936033
11	0.5872506585
12	0.5832580265
13	0.5796610028
14	0.5766208773
15	0.573615728
16	0.5709171739
17	0.5687491078
18	0.5667124001
19	0.5648825225
20	0.5630658598
21	0.5614635745
22	0.5600690688
23	0.558762953
24	0.5575338521
25	0.5563704501
26	0.5553667455
27	0.5545756772
28	0.5538128589
29	0.5529792179
30	0.5521477134
31	0.5515651568
32	0.5509772687
33	0.5503366988
34	0.5498222745
35	0.5492229321
36	0.548747124
37	0.5483514761
38	0.5479258571
39	0.5475917242
40	0.5471818722
41	0.5468229512
42	0.5464274517
43	0.546066958
44	0.5458325506
45	0.5455588049
46	0.5452887289
47	0.5450056259
48	0.5446975865
49	0.5444719132
50	0.5442440242
51	0.5440190532
52	0.5438117879
53	0.543609953
54	0.54340521
55	0.5432123565
56	0.543042827
57	0.5428960479
58	0.5427301783
59	0.5425325769
60	0.5424230687
61	0.5422821255
62	0.5421556535
63	0.5419927513
64	0.5418212436
65	0.5417286201
66	0.5415751148
67	0.5414499682
68	0.5413361375
69	0.5412026228
70	0.5410593847
71	0.5409516372
72	0.5408395375
73	0.5407204841
74	0.5406226379
75	0.5405557025
76	0.5404532074
77	0.5403277938
78	0.5402468422
79	0.5401797386
80	0.5401095885
81	0.5400080924
82	0.5399072986
83	0.5398227762
84	0.5397294801
85	0.5396623864
86	0.5395907526
87	0.539498871
88	0.5394444087
89	0.5393266906
90	0.5392458577
91	0.5391707717
92	0.5391289309
93	0.5390757051
94	0.5389671564
95	0.5388848101
96	0.538812652
97	0.5387516218
98	0.5386765062
99	0.5386173356
100	0.5385381842
101	0.5384335723
102	0.5383626902
103	0.5383047165
104	0.5382129634
105	0.5381371752
106	0.5380784497
107	0.5379947285
108	0.5379400486
109	0.5378547052
110	0.537772082
111	0.5377083415
112	0.5376729005
113	0.5376201791
114	0.5375697624
115	0.5375063483
116	0.5374764069
117	0.5374423012
118	0.5373558203
119	0.5373030594
120	0.537229378
121	0.5371333321
122	0.5370753385
123	0.537016712
124	0.5370089274
125	0.5369631893
126	0.5369024163
127	0.5368455405
128	0.5368067166
129	0.5367685851
130	0.5366680781
131	0.5366369003
132	0.5365694406
133	0.536511823
134	0.5364588345
135	0.5363651724
136	0.5362943991
137	0.5362382058
138	0.536190994
139	0.5361473925
140	0.536089211
141	0.5360395659
142	0.5359605233
143	0.5358902743
144	0.5358280571
145	0.5357614679
146	0.5357165311
147	0.5356747991
148	0.5355870323
149	0.5355403645
150	0.535481174
151	0.5354493731
152	0.5354168104
153	0.5353809342
154	0.5353051063
155	0.5352762926
156	0.5352501792
157	0.5352231953
158	0.5351646379
159	0.5351426987
160	0.5350643585
161	0.5350077399
162	0.5349661068
163	0.534914879
164	0.5348962534
165	0.5348386852
166	0.534794787
167	0.5347604834
168	0.5347084643
169	0.5346530525
170	0.534606899
171	0.5345781347
172	0.5345226239
173	0.5344701794
174	0.5344256086
175	0.5343528273
176	0.5342904816
177	0.5342623602
178	0.5342585817
179	0.5341833869
180	0.5341252549
181	0.5341030585
182	0.5340517417
183	0.5339995148
184	0.5339716408
185	0.5339151013
186	0.5338635075
187	0.5338135062
188	0.5337709137
189	0.5336919206
190	0.5336565191
191	0.5336180612
192	0.5335575552
193	0.5334994133
194	0.533463181
195	0.5333958796
196	0.5333376289
197	0.5332847294
198	0.5332415829
199	0.533187912
200	0.5331336277
201	0.5330508363
202	0.532992368
203	0.5329653446
204	0.5329290529
205	0.53288467
206	0.532839011
207	0.5327922245
208	0.5327455072
209	0.5327087407
210	0.5326738635
211	0.5326254548
212	0.5325940593
213	0.5325620605
214	0.5324792098
215	0.5324345301
216	0.5323863983
217	0.5323598497
218	0.5322965247
219	0.5322608364
220	0.5321782626
221	0.5321317926
222	0.5320981221
223	0.5320758861
224	0.5320022245
225	0.5319629654
226	0.5319162481
227	0.5318576017
228	0.5318157411
229	0.5317749192
230	0.5317081222
231	0.5316502771
232	0.5316084264
233	0.531527999
234	0.531492924
235	0.5314607867
236	0.5313885495
237	0.5313595082
238	0.5313001199
239	0.5312362905
240	0.5312019968
241	0.5311530045
242	0.531096831
243	0.5310640606
244	0.5310288075
245	0.5309676289
246	0.5309238197
247	0.5308826911
248	0.5308384764
249	0.5307973279
250	0.5307575545
251	0.5306957329
252	0.5306365128
253	0.5305893208
254	0.5305319999
255	0.5304928495
256	0.5304399797
257	0.530405419
258	0.5303463572
259	0.5302569089
260	0.5302037226
261	0.5301715358
262	0.5301153327
263	0.5300502766
264	0.5300141729
265	0.5299476232
266	0.5299081267
267	0.5298850302
268	0.5298292325
269	0.5297866696
270	0.5297473808
271	0.5296865781
272	0.5296498512
273	0.5296184162
274	0.5295747356
275	0.5295408574
276	0.5294990067
277	0.5294442872
278	0.5294082626
279	0.5293819315
280	0.5293348581
281	0.5292994863
282	0.529265984
283	0.5291944095
284	0.5291488298
285	0.5291323012
286	0.5290812514
287	0.5290234458
288	0.5289977083
289	0.5289502689
290	0.5288619878
291	0.528783697
292	0.528719818
293	0.5286727842
294	0.5286346329
295	0.5285638102
296	0.5285102876
297	0.5284793274
298	0.5284281391
299	0.5283810064
300	0.5283154855
301	0.5282711916
302	0.5282329513
303	0.5281704769
304	0.528130743
305	0.5280783084
306	0.5280275258
307	0.5279891568
308	0.5279510154
309	0.5279100154
310	0.5278751085
311	0.5278251468
312	0.5277901311
313	0.5277461339
314	0.5277089421
315	0.5276374764
316	0.5275899184
317	0.5275375926
318	0.5274661863
319	0.5274112789
320	0.5273758181
321	0.5273318308
322	0.5273057767
323	0.5272472392
324	0.5272093154
325	0.5271478895
326	0.5271103317
327	0.5270672446
328	0.5269937511
329	0.5269446896
330	0.5268885655
331	0.5268539158
332	0.526812896
333	0.5267498578
334	0.5267217364
335	0.5266656717
336	0.5266276985
337	0.5266010806
338	0.5265631667
339	0.5265093374
340	0.5264621849
341	0.5264167931
342	0.52635147
343	0.5262943964
344	0.5262683225
345	0.5262226043
346	0.5261571921
347	0.5261249955
348	0.5260773583
349	0.5260437076
350	0.5260030043
351	0.5259782262
352	0.5259304209
353	0.5258901231
354	0.525847402
355	0.5258043841
356	0.5257391303
357	0.5257152226
358	0.5256685845
359	0.5256028558
360	0.5255560792
361	0.5255272357
362	0.5254869182
363	0.5254347507
364	0.5253917724
365	0.5253735029
366	0.5252972003
367	0.5252622242
368	0.5252239739
369	0.5251872668
370	0.5251329232
371	0.5250886194
372	0.5250505077
373	0.5250299434
374	0.524981228
375	0.5249604164
376	0.5249009194
377	0.5248588511
378	0.5248122129
379	0.5247599267
380	0.5247148514
381	0.5246696475
382	0.524618301
383	0.5245925833
384	0.5245580424
385	0.52451452
386	0.5244690688
387	0.5243883942
388	0.5243783247
389	0.5243291939
390	0.5243053259
391	0.5242542959
392	0.5242043936
393	0.5241652927
394	0.5241470331
395	0.5240953305
396	0.5240753003
397	0.5240280983
398	0.5239942696
399	0.5239192331
400	0.523889539
401	0.5238373122
402	0.5238063618
403	0.5237874989
404	0.5237446293
405	0.5237184961
406	0.523677595
407	0.5236344288
408	0.5235969995
409	0.5235294014
410	0.5234737719
411	0.5234154816
412	0.5233430268
413	0.5232845684
414	0.5232561305
415	0.5232304127
416	0.5231966829
417	0.5231673943
418	0.5231236544
419	0.5230792813
420	0.5230383506
421	0.5229996354
422	0.5229679828
423	0.522946558
424	0.5229284467
425	0.5228709576
426	0.5228183253
427	0.5228014604
428	0.5227632101
429	0.5227314982
430	0.5227174226
431	0.5226753741
432	0.5226368964
433	0.5225766674
434	0.5225480514
435	0.5225264485
436	0.5224592658
437	0.5224073457
438	0.5223536945
439	0.5222942667
440	0.5222638703
441	0.5222085969
442	0.5221639469
443	0.5221314931
444	0.5220810962
445	0.5220441318
446	0.5219984531
447	0.5219333971
448	0.521892674
449	0.5218664617
450	0.5218387459
451	0.5218049369
452	0.5217701091
453	0.5217201079
454	0.5217014526
455	0.5216727081
456	0.5216110547
457	0.5215839423
458	0.5215398561
459	0.5215094597
460	0.5214656703
461	0.5214216534
462	0.521354896
463	0.5213072291
464	0.5212423907
465	0.5212022908
466	0.5211683533
467	0.5211067098
468	0.5210632171
469	0.5210206245
470	0.5209747579
471	0.5209475861
472	0.5209043506
473	0.5208579301
474	0.5208060198
475	0.5207603707
476	0.5207262057
477	0.5206863036
478	0.5206500317
479	0.5205856878
480	0.5205438767
481	0.5205026492
482	0.5204642901
483	0.5204250805
484	0.5203771861
485	0.5203192915
486	0.5202898842
487	0.5202516439
488	0.5201955099
489	0.5201639661
490	0.5201279118
491	0.5201139847
492	0.5200736968
493	0.5200205402
494	0.5199822603
495	0.5199395292
496	0.5199001316
497	0.5198654225
498	0.51982921
499	0.5197926413
500	0.519748565
501	0.5197261708
502	0.519693895
503	0.5196291852
504	0.5195872751
505	0.5195369969
506	0.5195117836
507	0.5194542055
508	0.5194377264
509	0.5194144123
510	0.519376894
511	0.5193454689
512	0.5192954281
513	0.5192641118
514	0.5192425286
515	0.5191996196
516	0.5191606473
517	0.5191263042
518	0.5190660949
519	0.5190197239
520	0.5190108018
521	0.5189594949
522	0.518931324
523	0.5189173969
524	0.5188618267
525	0.5188418064
526	0.5188159799
527	0.5187614582
528	0.5187149586
529	0.5186613964
530	0.518629447
531	0.5185942533
532	0.5185563097
533	0.5185192465
534	0.5184819557
535	0.5184623509
536	0.5184293134
537	0.5183991445
